Tweets,Decision
rt @babyxtee_: hit or miss. they're usually sweet as pie but let everyone walk all over them which i hate  or they're asses. likeƒ,No
@_kashavels @javon_savage you2 r really ghetto pathetic.  @twitter needs to fbi come and investigate y'all ignorant asses.  life goes on.,Yes
@von_wr aww shot.?why didn't i think of that? ____@khuhlasekhondlo ____ is a cocksucker. __@gumede783 @sramphaul,No
rt @duanyieun: singing our asses off https://t.co/8yojwvbblj,No
big fat asses fucking https://t.co/gby5pavs8d,No
@adrienpassee @tigerhoods__ both of yall take yall asses to sleep,No
@cjr16255 he is a total asshat  to be sure and i don't condone his behavior  but let's not use that term.,No
rt @harryetiouis: remember when harry and louis wouldn't even bother to hide the fact that they were so far up each other's asses https://tƒ,No
shout out females w/ phat asses ________________,No
watching kimi no na wa with the lamest fuckhead @sxmpiternalx !!,No
rt @yg_drag: seungri just flipped at all of their asses https://t.co/5n05trxnz6,No
21.12.16. fun day! thankyou for today shithead. ___ https://t.co/sgpmlf5xvs,No
@stevemartintogo you know she would have loved your joke..too many tight asses w/o a sense of humor..she'll be missed,No
alot of people on food stamps cud get their lazy asses out there &amp; get a job. unemployment hs time limits  y not food stamps? #banjunkfoods,No
my dad's excitement for michigan getting their asses kicked is unreal ____,No
hot girls with nice asses naked https://t.co/ksvbm4u6yh,No
trop tard ??? https://t.co/ndjtriedjq,No
@lyaerly 7 asses,No
rt @jlove_vii: fetishist for fat asses,No
rt @pogbesque: hahahahahaahaahhahh fuck off moyes get rekt you fucking cunt hope your nan dies you shithead,No
i *am* an optimist. i am positive that you are a shithead. see? positive thinking!,No
remember when china and russia hacked our military and financial orgs and obama went went all nookalur on their asses? me neither #worthless,No
rt @mgtow_ftw: @lawslolimher @clarencewhorley @espiegler @delta @huffpostrelig hope the cocksucker is banned from flying delta.,No
"i've never heard the word ""cocksucker"" yelled inside of a walgreens until today  2016 will truly be memorable",No
@hajimetxt i'm yelling what a shithead,No
sleeping asses fucked hot teen https://t.co/lr677l1iao,No
nothing better then stephen king using the word asshat to describe trump.,No
rt @lsnwvcpjyrvlucy: black asses shemalebareback https://t.co/axp1s52mr4,No
rt @gloriousun: fun fact: as an insult once when i acted like a total shithead  my mom screamed  one direction did not teach you to be likeƒ,No
rt @watermelonxhead: @oscarolazagasti shut yo big head asses up hoe jk ily,No
@brandifoxuk well get there asses in gear you are number one xx merv,No
#eukanuba adult lamb group of teen asses https://t.co/qeeuvkjvbo,No
chicago women probably wipe their asses with crime scene tape,No
@stephenking @jumptherework the earth will survive..and cockroachs will inherent the earth ..(does that mean the asshat lives?),No
@bianlaf @jared_sojo me when our asses are gemini brenda,No
satafrikan chicks shows their asses  around.  short prayer: *lord protect my girl not to take part in this #ngawecode14challenge * amen,No
i am god . i wrote a book about it to keep yo asses liable -- reverend x (spirit of truth guy) https://t.co/8kx6v2izyv,No
@yourlegaldealer @_sula_peace so our haitian asses have to be on time lol,No
because the kicker is the reason osu got their asses stomped https://t.co/tu0zky8vt3,No
rt @weltenschauung: day after day our love gets stronger  growing every minute that we get closer  (oh gosh such a dagger through my tard tƒ,No
hey @dodo why are you a fuckhead,No
rt @aldubphmalabon: tans  happy birtday daw from the number one a-tard @mainedcm pahinga ka daw  listen to her  she loves you _ƒ,No
@thundakittty right  happy asses lol __,No
black titties round asses pics https://t.co/6l5zqzi4wz,No
pervert  skid mark  asshat  sorry tourette's attack when i see him say something fucktarded  in other words wheneveƒ https://t.co/xlrlebi56s,No
hot asses milfs disgraced and fucked https://t.co/gkrcrwaihq,No
nice asses porn https://t.co/z9r98xffum,No
hey look everyone  fred jackson is back for a few segments on the john murphy show...a day after the #bills made total asses of themselves!,No
@anambroid @crypto_god ascending wedge with a bear div. hold onto yer asses after 1030 because the elevator will be savage.,No
y'all gotta grow up &amp; take y'all asses on wit that curious cat shit,No
nope their bored  lame  and triggered hurt asses gotta make 6 paragraph essay threads on why they disagree and hateƒ https://t.co/0ed0vwg6vu,No
maybe this isn't sadness maybe this is just being a fuckhead ____,No
@jordansta i hate people lmao. ain't none of y'all asses changing,No
rt @aliciafiasco_: you can't even pay certain men compliments. their dense asses make everything sexual like they really think everybody waƒ,Yes
fat naked asses #nerdy girl anal https://t.co/jmsuujlegj,No
they are fucking out of here  rt @sistershanise: i will never fly with your racist asses again @delta fuck y'all,No
@airlineflyer @thatjohn it you read the later tweets its worse it wasn't one just someone who has renamed their hotspot that..what a asshat,No
same here!! ____ i'm gonna shit on this show and drag their asses like there's no tomorrow ______ https://t.co/idyfgkturf,No
rt @og_shani: i'll ride both yal asses bout mine lets not go there !______,No
they're gonna get their asses handed back to them,No
if another idol says the n word again i will fly to korea and drag their asses through the mud i swear https://t.co/gsqum2dvdd,No
https://t.co/zjcou9nayg the ladies don't need a man's touch - asses up: length: 34:20 keywords: cowgirl  strap-on ƒ https://t.co/tkizk01oz5,No
