Tweets,Decision
rt @imnixi: rob is a fucking niglet,Yes
whoever is rting chink porn please shut the fuck,No
i fw wop but hands down jeezy https://t.co/56xmuub5ty,No
tell 'em wop __ https://t.co/hoqkg6ce8y,No
most test wicket in #savsl + m muralitharan 104  s pollock 48  d steyn 35  m ntini 35  n boje 34  a donald 29  c vaas 27,No
#nrp hallo chink.. help retweet ya https://t.co/zwgpfyvpax,Yes
rt @robmyplug: beaner girls ruined my life,No
naked pregnant hot paki,No
@moonchild242 chink chink ! merry christmas __,No
paki bulgarian in the username.  fetal alcohol syndrome is no joke. https://t.co/kz0obwsctr,No
@c_scaevola you to needy manchild  imma block you now  you are boring. good luck sucking heeb cock for shekels,Yes
why she call you a niglet tho ________ https://t.co/qylwck3rs5,No
[r&amp;b][doo-wop] the impressions - people get ready https://t.co/ocvm5zpo7e https://t.co/tp5tcaj4z1 #soulfunk,No
the mexican verification questions make me feel even more like a beaner than i already am________,No
new chink city ? vancouver where did the white people go ? https://t.co/fg4h9afcpc,No
society for promotion of it in chandigarh (spic) recruitment of assistant programmer 2016ƒ https://t.co/n9zw0c77vu,Yes
rt @walkardito: @cxlvxn @rain3huncho who got this fucking jigaboo a computer,Yes
another typical dangerous nigger  terrorist and spic bisexual bottom @logotv @newnownext lol __,Yes
rt @meetharshad: @chintskap  rules for hit film r still same after so many years. intolarance/demonetization/paki actors etc are only excusƒ,No
@thomaswrong @gucci1017 i don't listen to nobody else on that lineup other than wop__,No
twerk it like paki by john kimble https://t.co/k8sexsj6zi #twerk #lab,No
#np (wop-03) leviticus chapter 011 by various artists,No
#free sex movies guy paki sexy movie mobile https://t.co/wdv9b16sis,No
rt @krewcabangher: im fucking pissed i was supose to go to las vegas for christmas but no instead im at this retarded beaner ass party smh,No
@simplypique neymar's a paki too you troll,No
@bravesoptions and ender wasnt our 1st  choice-pollock was,No
i kissed a girl - vintage '50s doo wop katy perry cover ft. robyn adele ... https://t.co/sf47tmjpvi via @youtube,No
@kyslel you are a kyke,Yes
rt @blythe1969: @bilderundworte @colebrax @wrongreel @gknout #devilchef by jack pollock #darkhorse one-shot  july 1994 https://t.co/rptami4ƒ,No
big pennis sex #paki teen gallery https://t.co/fjo28gqcuj,No
#top toons porn defloration movies of paki girls https://t.co/uusnfedemx,No
sauces  many dispensed from squeeze bottles  must be applied in uniform patterns. less pollock  more lewitt. https://t.co/q7ycfzrjfr,No
bull. honkey. it took how many days for to come up with this lame non-excuse. pathetic. truly. https://t.co/5nnnxzgahx,No
i would of bowled in the cooler weather &amp; try &amp; chase if we got them out cheaply paki's will just practice their baƒ https://t.co/dtcsi5qfj0,No
oh kdskc you call that a wing eyeliner? paki iwan yan sa 2016 pls,No
rt @ashkaneskittles: trust me im literally begging white dons to call me paki so i can beef them on gta5 dbsbzbzbbz https://t.co/txkyb5cyvv,No
#stripes sex porn of paki teens https://t.co/xtoxntsdse,No
gujarati sex #ruski women sex p?cture https://t.co/cyhvb6q4oz,No
@gucci1017 is it me or does jeezy wanna b u so bad ! i love u wop u the real trap god _______ keep shitting on these fuck nighas.,No
devdutt pattanaik does a soft attack on doniger/pollock as camouflage 2 really attack dr elst/ dr frawley..should act in the movie gunga din,No
#hard sexual positions real paki hot naked clips https://t.co/tt9odxn6nn,No
#paki nude sleeping girls pic woman german shepherd sex https://t.co/nj06bybktw,No
@joeyslither @tinamoorereport @zigmanfreud --  terms cracker and honkey arent often recorded in black crimes. which red flagged it or me!.,No
#totally nude paki school girl kenia free teen https://t.co/z8f4zxgfj8,No
paki fucking a white tv https://t.co/cienfa3ny1,No
@0tway @sirscrappy_ @iisigma otway racist he calls me spic and lunar a nigger smh,No
#paki cutest girl fucking sexy nude granny mobile porn https://t.co/y9lq5ivlzv,No
@ostrov_a @notgavin @aahronheim @omgadamsaleh @delta funny coming from a pollock. eff @delta strike three!,No
@pakiessmalik paki boy howdy my partner and i invite you to this kind of porn web cam cost-free join click on my profile.,No
9:320 story  did talk through the chink of a wall. #amndbots,No
[insert joke here]....the best banter #beaner....follow that @stephen1986 and simon b!,No
@arindawo promosi chink?,No
hot paki girls like nargis only fuck bnp or big nordic penis https://t.co/f8wd9ypl94,No
highly specialized tools sussed out a fake jackson pollock and nearly 40 other forgeries created by a chinese... https://t.co/o6huvbuem3,No
#paki girls naked porn russian blonde pussy https://t.co/5abmo8glbu,No
