Text,Class,Type
"@matejzalar Še ene županske volitve damo čez, pa ne bo več makedama, da bi fural gravel bike :)",0,
"@xmp125a @lukavalas @petra_cj Upam, da se bo. Ker to ni normalno. Že par mrtvih, elektrarna pa Delali smo po pravilih. Fak.",0,
Haloška gibanica v gostišču Majolka v Jurovcih Videm pri Ptuju. #Haloze #ifeelsLOVEnia https://t.co/f4OAHfLOlZ,0,
"(KRONIKA) Ovirala naj bi se med prehitevanjem po štajerki, mlajši na odstavnem pasu uporabil tudi kovinsko palico https://t.co/Bv3xqMXNEu",0,
"@carcassonne51 Stopil si jim na žulj. Tovariši , Škoberne itd. nam namreč pravijo, da je prihodnost svetla.",0,
"@krisch_m @BRajgelj @RTV_Slovenija Pa ja ne namiguješ, da madžarska Nova24TV nima vrhunske vsebine?",0,
@antigravitypill @petrasovdat @finance_si Naj povabijo Putina na obisk...#NovAsfalt,0,
"@_seeke Sam vprasanje, ce bo res sel. Pomoje si Katarci zelijo gledljiv nogomet, kar pa Muriju v zadnjih letih ravno ne uspeva.",0,
"Za vikend nisem imela časa nič speči, tako da sem danes ene ekstra čokoladne muffine z malinami naredila.😍 Pol pekača sem že zmazala.😅",0,
Juventus še naprej melje #fuzbal #nogomet #ligaprvakov - http://t.co/DRBlqWri9J,0,
"Mediji poročajo, da aretirani ""narko kralj"" Prnjat zahteva, da mu sodijo v Sloveniji. Že ve zakaj. https://t.co/EHpM1uFw8D",0,
"@umijosek @YanchMb Seveda. Sploh publiki, ki jo targetira Pozar. Lipovscek bi jih super opisal. Tako kot opise volilce Trumpa.",0,
@SrdanKuret @LjuboMakovec @BojanPozar @sarecmarjan @vladaRS @strankaDeSUS ne delaš dovolj sramote tej državi,0,
"@hajdyXP @SiolNEWS saj ne bodo vec dolgo novinarji tam ..   jih bo nadomestil s temi s tviterja, ki imajo veliko stevilk zadaj …",0,
@asocialec Igranje z metulji lahko nevarno vpliva na stanje sveta. Raje medvede šlataj. 😉,0,
"@dusankocevar1 @zaslovenijo2 Proti si, ker si proti. Zakaj že. Ne delaj se nekega demokrata, v resnici pa si ultra anarhist. Slabše je, bolje je za nas. Samo da pridemo na oblast, pa makar preko vseh hrbtov.",0,
"@maticej @EffeV @Delo Sej jih velik vidis, k pred tabo zapelejo pa grejo sami ven. Jz na take najbolj ciljam",0,
Invaziji muslimanov na čast bodo nemška mesta v predbožičnem času še posebej provokativna:,0,
Pričenja se Klubski Maraton Radia Študent - dva dni/vsi bendi ...   'Z bendom Lynch ter vrtojbskimi Nesesari... https://t.co/nnW0w59Z2s,0,
"Pri hoji v gore velja, da prvi svoj korak prilagodi zadnjemu, namanj sposobnemu v koloni. Marinci pravijo : "" No... https://t.co/XxdUYWE2zX",0,
24ur: Polmaraton v Palmanovi usoden za novogoriškega tekača https://t.co/gT4LQrxx5C #slonews,0,
Toliko so zaslužili z oddajanjem nepremičnin v turistični najem #Furs #airbnb #oddajanje #nepremičnina https://t.co/pG7WGJC0MY,0,
"Toliko mam vsem za povedat zjutraj, toliko tipkam, da se telefon, v eni uri polnjenja, sploh ni premaknil z 21% baterije.",0,
"@RomanVodeb 1.Dolžniški odnos nikoli ni prostovojen. 2.Totalitarizem je v bistvu vključujoče podrejanje.  3.Klepec opazi nek naravni red, ampak ga noče imenovat tako, pa ga imenuje brklarija in Zupačičeva iz tega naredi cel ekspoze.",0,
"@specificen @Mladiforum @sarecmarjan @JJansaSDS @strankalevica Vidim, da nima smisla odpisovat...🤦‍♂️",0,
@Blaz_88 @AnzeSinkovec @JureMenart @PrometejDD To je biko ze po padcu JJ. To je imel Čufer čez. Jaz ti lahko povem stvari iz časa pred tem. Je pa tudi Čufer bil soočen s težkimi izzivi. Za nazaj je enostavno biti pameten.,0,
"@had Zar omakco sam naredim, karameliziram cebulo, solata, paradiznik, pa obvezno cheder sir.. Weber zar, medium peceno😝",0,
"Mojih domačih sploh ne morem kontaktirat, ker so že dva dni brez elektrike. Pa vsem je zgleda baterije zmankal na telefonih. Ful super.",0,
"Protikorupcijska komisija bo preverila poslovanje Novih obzorij, ki so v delni lasti SDS.  https://t.co/cwFIKmXk6V",0,
"@jkmcnk Za tiste kozarce si bil ti kriv, ker si jih narobe na pult postavil. :D",0,
@Pertinacal @NeuroVirtu @TV3_SI @EvaIrglL Lahko bi bila tudi učiteljica komunikacijskega bontona v parlamentu.,0,
@lesnuitsdelena Hehe glih poslušal ta komad v avtu in mi je ostal v glavi. Catchy tune indeed. Škoda da nisi šla takrat u Liege zraven. :),0,
"@Skravzlana @KatarinaDbr @Urskitka @Nogavicka_Pika Ne. V maso se z valjarjem vnese maslo, ki ne sme biti pretoplo.",0,
"@StendlerBostjan Ti mislis da je elektrika zastonj,grel pa bi se na elektriko0",0,
@DejanPogacnik Baška grapa je bila vsaj toliko domobranska kot partizanska ali pa še bolj https://t.co/Bd3uIqPSQi,0,
Migrantom na voljo tudi psihiatrična podpora 🤔  https://t.co/br1B0ugy7t https://t.co/br1B0ugy7t,0,
