tweet_id,tweet
865957857757466627,@IvankaTrump barack zach Rube the boob when I said no Tracy they all said you set it up LOOK MEXICO USA NO #1 Twisted your Arm
867757801346547713,@BwaynyTH13 why you gotta be so rube♪︎
687253990942191616,@Aussiesugglet00 Happy Birthday rube 😘💞 you're the Kylie to my Kendall &amp; I love you so much sissy! Smoochies!! 😜 https://t.co/FENyN80Fu4
690896366491537408,@Kevin_Sano What you don't know is Fluttershy is rigged to drop them onto the desk which makes me smack a bitch up. Rube Goldberg yo
800387477047541760,@rallythong debunked because someone put a video up on You Tube. Dumb rube.
697226326218899457,@Jacko2323 haha hahaha your boys Rube and Cruz  went down in flames. Trump owns the Republican party and this race.
829730811041677312,"@PatchGretzky @rube_thedude you ain't as bad as rube but you up there on the crazy with it. Cheating is stupid, period lol makes zero sense"
834770175031406592,@_Fat_Hipster sausage&gt;pepperoni you fucking rube
725781953123774465,@CNNPolitics we know why! Because traitors like you MSM sold them to your trusting rube audiences. Shame on you taking advantage of people!
850179871762374656,"@realDonaldTrump Not in my name, not with my tax dollars! #Syria #rube #playedlikeafiddle Please resign before you ruin this country."
853734837995393024,"@drafter28 @Kayla_86 And by ""shameless"" Wild rube, you are not lying."
873370207930261505,@tonyposnanski @realDonaldTrump And you are a pathetic rube.
877353739757117441,@IvankaTrump @marcorubio Your dad. RICO. RUSSIA. DICTATOR. Marco Rubio = spineless rube.
878951400478265345,@8_syp @janemaestro @CBSNews Shocked that a rube like you would make a racist remark! LMFAO.
820005386094804992,"@TobyKeithMusic make sure you don't bring your wife or GF - Trump might grab them by the pussy - he do that you know. He's famous, you rube"
821792193132302337,"@realDonaldTr___ You gave zero common sense voting for a guy who doesn't give a thought to you or your family. You're a mark, a dupe, a rube"
826128939886182400,"@realDonaldTrump You truly are the Simple Minded Fuck you play on TV? I was hoping it was a ""bit"", to attract the Rube Vote. But ... nope!"
764100904777834496,"@LTA347 what a cunt, not Gabby, you! You un-American rube! Leave Twitter now!!"
