tweet_id,tweet
751107018081996800,@ForEverRiah @yafavvwhitegirl lol so you saying I look like a damn hillbilly bumpkin 😂😂😂😡🤔🤔🤔
751495163151839232,"@NBCSN you suck, I hope Bernie terminates your F1 contract. Bullshit hillbilly ""racing"""
752636076762787841,@MLTneeRhodette ur still ugly hillbilly
757391041758654465,@HillaryClinton desperate people say desperate things... See ya Hillbilly!!!!  You witch!!!
759013658600968193,@FBHWJustin if you were a real hillbilly you'd spit in his face.
685122735081689088,"@LTC_Hunter If there are trying to ""take your guns"" why havent they taken them yet?Gun sales are through the roof.Use Logic u dumb hillbilly"
686298486552182784,"@albertasoapbox I know your ignorant hillbilly friends don't read much, but I'll try help anyway... https://t.co/Xa9YnuGXW7 #abpoli #cdnpoli"
688712526629044225,@RandPaul hell no kiddies tables for u fing hillbilly
688881636767850497,@PapiRoast1998 @DiceDesigns_ @MrRogueX are you running out of insults? You just used hillbilly lmao
794264451687952384,@NeilTurner_ shut your hillbilly ass up
794205639165833217,"@donaldtisgod get a life, have a scrub or maybe even a penis enlargement will help your case you hillbilly cunt."
799750559381225472,@Mastradomus @bitch YOU THE BITCH BITCH SHUT YO UGLY REDNECK HILLBILLY ASS UP YOU THE BITCH BITCH
799823259256487936,@RapinBill @LaurenSchacher @HamiltonMusical hopefully he gets cancer you hillbilly
705853560718622720,"@turnageb ""Look you goddamn hillbilly, I don't care who you fuck the next 4 years, but you will do it in Albania!"""
709933481875390464,@KingConBoy fuck off you inbred hillbilly
714019233072619520,"@ImranGarda ""Hear me talkin', hillbilly boy?! I ain't through with you by a damn sight. I'm gonna get medieval on your arse."""
694581096097382400,@iank12 go fuck yourself you inbred hillbilly POS
697898933180182530,@PichuGirl121   Yea don't talk to yrslf like that is a fucken shame to ur hillbilly family... go fuck ur brother and the horse u rode in on
839225004013191168,@Trueblue1872 @Alyssa_Milano all these poor hillbilly boys you are disappointing Alyssa!  ROFLMAO!!
847164582422609920,"@Wolfiemann Nah, your hillbilly mentality is just boring. Run along and hump on your sister, or cousin, or both! HAHAHAHAHAHA! #backwards"
738117887752343552,@LighthouseDMS why would you hit a nerve when I know your some sad hillbilly 😂 no worse than you. So ugly you don't have a profile pic. 🐄🐃🐀
745443449382506496,"@nightlyshow @AndyHolt4TN Andy's parents are brother &amp; sister so you have to excuse his low IQ, hillbilly manners, bad genes, and stupidity"
747259734009458688,"@KenCarman I love you man, you fill every hillbilly stereotype. Myrtle Beach when you're an adult?  Suck it up and go to Hilton Head bro"
780549815801221120,@sxpboyjay listen you hillbilly i smack the man outta you. so don't come over here saying that shit again.
832023811864145920,"@realDonaldTrump HAVE TO MOVE TO RUSSIA,B/C YOU WON'T BEABLE TO LIVE IN ""USA"" POOR HILLBILLY'S WON'T WANT YOU! YOU'RE A COWARD W/O A COUNTRY"
729722870851571716,@TheMaestro96 u left it in my backseat u hillbilly
731989623736549377,@whorechachata @NOTACOOLKlD aww you damn hillbilly 😂😂
731689328330428417,"@wilfork75 @JJWatt Vince, your hillbilly overalls were the bomb!"
733809326691749896,"@cvpayne  A) Thank God for Spell CK. B) Have Fun. ( If your a Hillbilly like myself, Screw Grammar &amp; let the Word Flow &amp; be Yourself."
715676595550339072,"@AllyDub Not to impressed with his gay slurs, WTF hillbilly cactus, you need a slap"
721455201404719105,@MarisHoskins you keep calling me stupid and a dumbass but look at how you talk lol. You sound like an uneducated hillbilly.
725064341297438721,@Rovitz is this when I call you a redneck Montana hillbilly?
848687139948642304,@BryanJFischer And Christianity stole almost everything from Zoroastrianism. Being a clueless hillbilly doesn't work in your favor.
854821544396247040,@MikeMartin1982 yo ur a fucking prick pick on someone ur own size not some kid that's 60years younger than you ya hillbilly fuck!
855314102503092231,"@jeffsessions yo, you hillbilly dipshit! Hawaii is part of AMERICA, or, as you might say, 'Murica. God, you are an embarrassment. 🖕🏼🖕🏼"
855396495406845953,@RepAdamSchiff @bannerite Just shows what an ignorant hillbilly Sessions really is. You can take the Boy out of the… https://t.co/9KoBOfc5jx
856244256540958720,@washingtonpost That was no joke you hillbilly asshickey!!!
783482997462925312,@realDonaldTrump @CNN @FoxNews man you sure messed up picking this hillbilly
784197635578159104,"@realDonaldTrump You should be winning by 40 pts in hillbilly country, loser."
784934469895589889,@holeinone1992 you forgot a k for bumgarner. redneck hillbilly
787353421485441024,@JayHawkSwagga no. Your southern hillbilly self is the ignorant fuck. You're the problem. Always dismissing their inappropriate behavior.
788074657228304384,"@bocavista2016 How dare you imply the backwoods hillbilly Arkansas rednecks are ""mentally ill!"" #FreeJulian"
870535365941223424,"@realDonaldTrump you are a culturaly hillbilly. dumptrump: ""DROPP DEAD"""
820286144416022528,"@realDonaldTrump This tweet  makes ur racist, hillbilly trailer park dwellers happy who dont know who John Lewis is othr than an old n***er!"
826500030924218369,"@CMHADirector @obscureauthor @Anomaly100 @Trump_Thumper @dwhuggs @GelarBudidarma hope u lose your ins u dumbass hillbilly,"
826508046251732992,@EvelKnievel5 @MavMason @tommyboy41161 Hah!  You really think anyone who's not an inbred hillbilly would look at your stupid memes?
760246066750959616,"@HillaryClinton #billclinton babykillers,thieves,liars,cheaters is what u r #sleazyhilly #slimybilly #hillbilly As if u b'lieve in God/Bible"
766340046534414337,@shh_annon @scruffo4life @hughey88 you think we verbally attacked him??!! f*** you hillbilly 😂
766915274373230592,@dwhite191 you ignorant hillbilly! We had Olympics 2500 years before America was discovered. Show some respect and apologize to our athlete.
