tweet_id,tweet
572346080911736832,These two are revolting #MKR #MKR2015
572348198062170112,#katieandnikki stop calling yourselves pretty and hot..you're not and saying it a million times doesn't make you either...STFU #MKR
572348106202750976,"If @Channel7 keep these girls in the comp, which I suspect they will, I'll never watch #MKR again.  SO SO SO Rigged."
572319306387599360,The menus look like they were made by a 5 year old little girl...in this case just the mental age of a 5 year old girl I guess #MKR
572347842456522752,Wish these blondes were in that How To Get Away With Murder show....#MKR
572347584339046402,Were butchers but can't tell red poultry is not cooked..  #salmonellaqueens #MKR
572347419209252865,Not dumb blondes...mmm...perhaps just delusions of adequacy? #MKR
572347385889759232,Stop saying dumb blondes with pretty faces as you need a pretty face to pull that off!!!! #mkr
572321733841063936,@mykitchenrules The Sassy Foods feeling http://t.co/TtqS1N27OL #MKR2015 #MKR these girls are vile people #KillerBlondes #basichotdog #nobun
572346263426875392,#mkr Omg there restaurant looks like a a little girls room oh my! Gosh
572346235719323648,I think they're deconstraucted Pro . . . mowhores #MKR
572346201258913792,"#MKR oops. I cannot think of anything nice to say about these girls, so I will say nothing. That silence will tell it all."
572332552016437249,My deconstructed tart joke from the last season of #MKR http://t.co/10LPgtdopB
595166563516329985,Ash found her inner bogun #whistle #fingersinthemouth Ewwww #MKR
572331686156873728,Nikki...Kermit the frog called and he wants his voice back #MKR #MKR2015 #KillerBlondes @mykitchenrules
572345888258981888,There's more moisture in those spatchcocks than the #killerblondes #MKR
572330170108923905,“@myallsw: Nice arm pit vagina #MKR http://t.co/sv9HLKQ2aM” It's deconstructed.
571853767047421952,The face of very ugly promo girls ! Faces like cats arsehole #mkr excited to see them@go down tonight...literally http://t.co/HgoJrfoIeO
572345440600907777,@mykitchenrules Elegant and beautiful?Cheap and trashy!Nothing more unattractive than girls banging on about how hot hey are. #mkr #notsassy
572345326004129792,Sorry #killerblondes but you are a long LONG way from refined. #mkr
572320554654425088,"Drasko only likes his mum's hot pot, especially when she's drunk and unconscious #MKR"
572344691443687425,its melting because you didnt put it in the freezer before you served it you dumb skank! #MKR
572345137335967744,#mkr deconstructed by girls that have deconstructed brains  ! Nearly brought up my dinner when I saw that crap on the plate
568340978861355008,"In the words of former contestant @whatsnextjake , Katie and Nikki need to calm their farm. #MKR"
572345016275771392,I cannot stop looking at Nikki's dreadful black crooked bra #MKR #MKR2015
572344928069500929,Trying to find something pretty about these blonde idiots.#MKR
572344614910349312,"I dislike Kat more than the blondes who are going to tell us they're hot another 50,000 times #MKR #notaustraliasnexttopmodel"
572344602469908480,I've had better looking shits than these two! #MKR2015 #MKR #killerblondes
572344515261931520,"@mykitchenrules Girls, please don't let the leftovers go to waist. My dog would really appreciate it! #MKR"
436066229111902208,"They're so bitchy! They're just saying whatever comes to mine, do they have no shame or filter in their heads? #mkr"
572344316141572097,Hope one of those bitches falls over and breaks her leg  #MKR
572344267185627136,What could you have possibly modeled #mkr
572344263389794304,I can't even watch my kitchen rules without cringing at these girls #MKR
572344249309478912,Really a cat walk that's so ridiculous #MKR @TeenWolf78
572344152098148352,Oohhh they're back. And now there's three hot chefs on my screen. It's almost too much to bare... Almost 😉 #MKR @FourinHand
572344114332626944,shit she knows how to walk.....you go girl...one foot in front of the other.....#MKR
572344083017936896,R u fucking kidding - catwalk - all that's missing is a pole #mkr
684779048120258560,Chloe and kelly ...i seriously hate those girls. Arrogant! #mykitchenrules
572344011043688448,"Actually Nikki really is quite good looking, wait till my shots hit the newstand! #mkr #photography #fashion"
572343828968943616,Stick to your day jobs girls #MKR
572343516271001601,Obviously natural blondes!! #mkr
572343508306010112,jus gonna say it...again....DUMB BITCH! #MKR
572343346716262400,These Blonde girls are full of themselves they should just leave #MKR
572343206479712256,"Omg. All those girl teams and 2 couples. Hahaha, poor Kats husband and Lloyd. #MKR"
572342944256032768,WTF....#mkr the girls used bought sorbet amd that was the standout!!?? Shouldn't they be disqualified? ??
572318519464865792,"""It's Katie and Nikki to a T. In that it's trashy and cheap.""  #MKR"
572342808490606592,"Isn't the drama thrilling from this two on #MKR couldn't make it up.  The chicks are gold and won't lose tonight, even if can't cook"
572342652907044864,I will not be using killer blondes as a hash tag! #MKR
573423922764365825,Shut up Katie and Nikki... That is all :) #MKR #MKR2015 #mykitchenrules
572337046909423617,"Anyone else notice that all 3 of Katie and Nikki's dishes were based on them being sluts? Sausage, cock and tarts? #MKR #MKR2015"
572342059601801216,"wait, that back shot of nikki in the kitchen... she's wearing blue knickers?! honey, no. 🙅🙅🙅 #mkr #VPLonextreme"
572327744349999104,Katie and Nikki... Who's been feeding your egos?? You're really not great looking #MKR #MKR2015
572340250715930624,Just read the #killerblondes get through. Switching off. #MKR
572334820744830976,"#MKR ""everyone under estimated us"" umm bitch you came second last, like literally just survived - you didn't win! My god #GoAlready #YouSuck"
572335171862593536,Who is writing the bimbolines? #mkr
572341829376598016,This pair of blonde idiots are the worst thing that have EVER been on my TV in the history of my lounge room. GET OFF!!!!  #MKR
568342285319933952,Katie and Nikki - NSW - My Kitchen Rules  When Will people learn? They are not that hot. Pride always comes before a fall.
572341685520216064,Watch tarts with poorly constructed personalities deconstruct a tart. #mkr
572341307584073728,My #MKR take: Nikki and Katie should be the poster children for the obliviously mediocre http://t.co/VtkzDvl7ys http://t.co/VspCN4rvjX
572341252550627328,@mykitchenrules My god.  You can't use a can opener?  Reminds me of a joke I know.  How do you know a blonde.....? #MKR
572336293725642752,Kim Kardashian has had marriages that didn't stretch as long as #MKR
572341152348696576,Sassy...? More like femme bots than killer blondes... #mkr
572328799284551680,Nikki looks like the kind of girl who would ask if there's anything cheaper than a $4 skittle bomb #MKR #MKR2015
572341118118936577,"How the f#*k are they ""models""? #MKR"
572340883489615872,"@mykitchenrules #MKR The girls are bringing some ""Sassy-ges"" to the table."
572339059613298689,"Just me, or hot blondes on #mkr not at all hot?? Just average!"
572330495830188032,"""@NewIdeamagazine:They weren't kidding when they said deconstructed! #mkr"" Yeh. Seen better shit in women's magazi... Oh. Right...Sorry #MKR"
572332558316269569,Katie and Nikki have definitely proved they're not just dumb blondes with pretty faces. They're just dumb blondes. #mkr
